7. 6464 Canoga Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPOSED APARTMENT PROJECT – SPACE ALLOCATION ANALYSIS (BASED ON USER DESIGN INPUT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross building area (GBA) & gross floor area (GFA) analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Has trash chute?,,,,,,,,TRUE,Indicates whether the apartment building design includes vertical trash chute system for waste disposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of bicycle repair area,,,,,1,,,,Number of designated bicycle repair areas provided within the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle parking - short term,,,,,7,,Stall(s),,Number of short-term bicycle parking spaces located near building entrances for visitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle parking - long term,,,,,65,,Stall(s),,Number of long-term bicycle parking spaces in secure or covered areas for residents or staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of W&D in com. laundry rm.,,,,,26,,W&D,,Number of washer and dryer units installed in the common laundry room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parcel locker comp. (req),,,,,52,,locker(s),,Number of required parcel locker compartments provided for package deliveries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenant modules,,,,,26,,module(s),,Number of tenant-specific modular spaces or functional units included in the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of storage - General,,,,,3,,,,Number of general or maintenance storage rooms allocated within the building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of storage - Janitor's closet,,,,,5,,,,Number of janitorial storage closets provided for cleaning supplies and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of cold storage delivery rm.,,,,,2,,,,Number of cold storage delivery rooms available for perishable goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of storage Room - Parcel,,,,,2,,,,Number of parcel storage rooms designated for holding delivered packages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Support Areas,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle Repair Area,,,,,,,,TRUE,101 SF,,,101 SF,,,101 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle Room,,,,,,,,TRUE,"1,800 SF",,,"1,800 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19%
,Common Laundry Room,,,,,,,,TRUE,836 SF,,,836 SF,,,836 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%
,Elevator Machine Rm. (Interior),,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elevator Machine Rm (Roof),,,,,,,,TRUE,177 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entry Lobby,,,,,,,,TRUE,"3,138 SF",,,"3,138 SF",,,"3,138 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%
,Mail Room / Mail Area,,,,,,,,TRUE,463 SF,,,463 SF,,,463 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%
,Storage Rm.- General,,,,,,,,TRUE,304 SF,,,304 SF,,,304 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%
,Storage Rm.- Janitor's Closet,,,,,,,,TRUE,182 SF,,,182 SF,,,182 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Storage Rm. - Cold Storage Delivery Rm.,,,,,,,,TRUE,203 SF,,,203 SF,,,203 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Storage Rm. - Parcels,,,,,,,,TRUE,203 SF,,,203 SF,,,203 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trash - Trash room at res. Floor (Typ.),,,,,,,,TRUE,608 SF,,,608 SF,,,608 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%
,Trash - Trash vestibules at res. floors (Typ.),,,,,,,,TRUE,828 SF,,,828 SF,,,828 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%
,Trash - Recycling room,,,,,,,,TRUE,301 SF,,,301 SF,,,301 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%
,Trash - Compactor room,,,,,,,,TRUE,285 SF,,,285 SF,,,285 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trash - Compost room,,,,,,,,TRUE,251 SF,,,251 SF,,,251 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"9,681 SF",,,"9,504 SF",,,"7,704 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff / Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of leasing office,,,,,1,,,,Number of leasing office room provided for tenent services and leasing operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of manager's office,,,,,1,,,,Number of manager's office rooms designated for on-site building management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of cameras,,,,,80,,,,Number of security cameras installed within the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of staff lockers & showers,,,,,6,,,,Number of locker and shower facilities provided for building staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staff / Management,,,,,,,Color,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leasing Office,,,,,,,,TRUE,101 SF,,,101 SF,,,101 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%
,Manager's Office,,,,,,,,TRUE,101 SF,,,101 SF,,,101 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%
,Parking Control Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CCTV / IT / Security Equipment rm,,,,,,,,TRUE,133 SF,,,133 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%
,Staff Break Room,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staff Lockers & Showers,,,,,,,,TRUE,"1,113 SF",,,"1,113 SF",,,"1,113 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74%
,Staff Restroom,,,,,,,,TRUE,62 SF,,,62 SF,,,62 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%
,Total,,,,,,,,,"1,511 SF",,,"1,511 SF",,,"1,378 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open space analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirement:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space (req),,,,,"15,825 SF",,,,The total area of shared outdoor or indoor open space required by LAMC for all residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private open space,,,,,"12,900 SF",,,,"The total area of balconies, patios, or other open spaces reserved for the exclusive use of individual dwelling units",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Open Space (req),,,,,"28,725 SF",,,,The minimum open space area mandated by the LAMC for the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recreation room (max),,,,,"7,181 SF",,,,The maximum amount of recreation room space that can be counted toward indoor amenity requirements (LAMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor Amenity Space (req),,,,,"8,644 SF",,,,The minimum outdoor amenity area that must be provided to meet project requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space (req),,,,,"15,825 SF",,,,The total area of shared outdoor or indoor open space required by LAMC for all residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indoor Amenity Space,,,,,"7,636 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor Amenity Space,,,,,"14,063 SF",,>,"8,644 SF",,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space,,,,,"21,699 SF",,>,"15,825 SF",,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space,,,,,"21,699 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private open space,,,,,"12,900 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Open Space,,,,,"34,599 SF",,>,"28,725 SF",,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amenities – Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenity priority for resident cohort:,,,,,,2. Community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indoor Amenity Space (req.),,,,,"7,181",,SF,,The minimum indoor amenity area required by zoning or municipal code.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Corridor - Indoor Amenities,,,,,"1,580",,SF,,The portion of corridor area allocated or credited toward indoor amenity space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenities – Indoor,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Art Studio,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%
,Bar / Café Nook,,,,,,,,TRUE,958 SF,,,958 SF,,,958 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11%
,Business Center / Coworking,,,,,,,,TRUE,855 SF,,,855 SF,,,855 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%
,Children’s Play Area,,,,,,,,TRUE,401 SF,,,401 SF,,,401 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%
,Commercial Kitchen,,,,,,,,TRUE,512 SF,,,512 SF,,,512 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17%
,Community / Multi-Purpose Room,,,,,,,,TRUE,"1,303 SF",,,"1,303 SF",,,"1,303 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%
,Concierge Desk,,,,,,,,TRUE,242 SF,,,242 SF,,,242 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Conference Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%
,Dining Room,,,,,,,,TRUE,958 SF,,,958 SF,,,958 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dog Washing Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fitness Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%
,Game Room,,,,,,,,TRUE,532 SF,,,532 SF,,,532 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Golf Simulator Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%
,Library / Reading Lounge,,,,,,,,TRUE,401 SF,,,401 SF,,,401 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Massage / Treatment Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Podcast Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recording Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sauna / Steam Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shower / Changing Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spa / Wellness Center,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spin Studio,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenity Storage Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12%
,Theater / Screening Room,,,,,,,,TRUE,927 SF,,,927 SF,,,927 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yoga / Pilates Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%
,Restroom for Residents,,,,,,,,TRUE,546 SF,,,546 SF,,,546 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"7,636 SF",,,"7,636 SF",,,"7,636 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amenities – Outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenities – Outdoor,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.10%
,Outdoor Bar Area,,,,,,,,TRUE,436 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.30%
,BBQ Stations,,,,,,,,TRUE,"1,303 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.30%
,Cabanas,,,,,,,,TRUE,602 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.70%
,Fire Pit(s),,,,,,,,TRUE,"1,931 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.60%
,Gazebos,,,,,,,,TRUE,927 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Movie Screening Area,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.80%
,Outdoor Kitchen,,,,,,,,TRUE,"1,373 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50%
,Seating / Tables,,,,,,,,TRUE,629 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Courts - Sports,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor Shower(s),,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pets - Dog Run / Pet Park,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pets - Dog Washing Station,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Planters - Community Garden,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor Spa,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.40%
,Swimming Pool,,,,,,,,TRUE,"1,177 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tot Lot / Children’s Play Area,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.30%
,Planters - Landscaped Area,,,,,,,,TRUE,"1,729 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.10%
,Outdoor Amenity Circulation,,,,,,,,TRUE,"3,956 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"14,063 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Voltage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Low Voltage,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MPOE Room,,,,,,,,TRUE,200 SF,,,200 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDF Closets,,,,,,,,TRUE,240 SF,,,240 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DAS (ERRCS) Room,,,,,,,,TRUE,173 SF,,,173 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,613 SF,,,613 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry Utilities,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electrical Utilty Infrastructure - Exterior,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electrical Utility - Customer Station (indoor),,,,,,,,TRUE,999 SF,,,999 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas Utility - Indoor Meter Room,,,,,,,,TRUE,"2,636 SF",,,"2,636 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"3,635 SF",,,"3,635 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back of House – Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Residential area - kVA,,,,,"1,476",,kVA,,The estimated electrical demand load in kVA attributable to the residential portion of the building.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Non-residential area - kVA,,,,,315,,kVA,,The estimated electrical demand load in kVA attributable to the non-residential portion of the building.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Demand electrical load,,,,,"1,791",,kVA,,"The combined total electrical demand load for both residential and non-residential areas, expressed in kVA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roof area,,,,,"24,261",,SF,,"The total gross roof surface of the building, measured in square feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Available roof sf (solar panel),,,,,"11,386",,SF,,"The portion of the roof area suitable for photovoltaic panels after excluding setbacks, mechanical equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Electrical,,,,,,,,Has?,GSF,,,GBA,,,GFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Main Electrical Room,,,,,,,,TRUE,450 SF,,,450 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sub Electrical Room(s),,,,,,,,TRUE,462 SF,,,462 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ATS Room (Emergency equipment),,,,,,,,TRUE,132 SF,,,132 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Generator Room,,,,,,,,TRUE,432 SF,,,432 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emergency Lighting Inverter Room,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solar Battery Room / UPS Room,,,,,,,,TRUE,429 SF,,,429 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"1,905 SF",,,"1,905 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back of House – Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Mechanical,,,,,,,,Has?,GSF,,,GBA,,,GFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fan Room / Air Handling Unit (AHU) Room,,,,,,,,TRUE,125 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mechanical Pad for HVAC Equipment (Outdoor),,,,,,,,TRUE,"1,128 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mech. Shaft - Commercial Kitchen,,,,,,,,TRUE,130 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mech. Shaft - Ventilation & Ref. Lines,,,,,,,,TRUE,407 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"1,789 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back of House – Plumbing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic peak flow - Q,,,,,509,,gpm,,The maximum instantaneous demand for domestic (potable) water supply in the building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Plumbing,,,,,,,,Has?,GSF,,,GBA,,,GFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic Water Booster Pump Room,,,,,,,,TRUE,216 SF,,,216 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cistern Water Storage/Tank Room,,,,,,,,TRUE,"1,760 SF",,,"1,760 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Backflow Preventer Room/Alcove/Space,,,,,,,,TRUE,80 SF,,,80 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas Meter Space/Alcove,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grease Interceptor Room,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Central Water Heating Room (Indoor),,,,,,,,TRUE,85 SF,,,85 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Central Water Heating Pad (Outdoor),,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graywater System Room,,,,,,,,TRUE,69 SF,,,69 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft - Plumbing Risers,,,,,,,,TRUE,117 SF,,,117 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Water PRV Closet,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Water Filtration/Conditioning Room,,,,,,,,TRUE,83 SF,,,83 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rain Water Harvesting Room,,,,,,,,TRUE,107 SF,,,107 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"2,516 SF",,,"2,516 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back of House – Fire Sprinkler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Is Sprinklered?,,,,,,,,TRUE,Indicates whether the building is equipped with an automatic fire sprinkler system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Design Fire Flow,,,,,"1,000",,gpm,,"The required water supply rate for firefighting, expressed in gallons per minute (gpm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Fire Sprinkler,,,,,,,,Has?,GSF,,,GBA,,,GFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fire Pump Room,,,,,,,,TRUE,144 SF,,,144 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fire Control Room,,,,,,,,TRUE,200 SF,,,200 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sprinkler Riser Closets,,,,,,,,TRUE,20 SF,,,20 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
